"tick","# Alive Epithelial Cells","# Infected Epithelial Cells","# Dead Epithelial Cells","# Free Virions","# Innate Immune Cells","# Specialised Immune Cells","# Agents In Total"
0.1,160000,0,0,1920,3200,0,165120
1.1,159413,418,587,922,3231,0,164153
2.1,159153,603,847,452,3260,0,163712
3.1,159078,691,922,240,3261,0,163501
4.1,159008,720,992,234,3263,0,163497
5.1,158955,739,1045,430,3258,0,163688
6.1,158974,765,1026,770,3264,0,164034
7.1,158981,830,1019,1260,3258,0,164518
8.1,158960,950,1040,1901,3259,0,165160
9.1,158975,1129,1025,2570,3265,1,165836
10.1,158976,1398,1024,3236,3263,1,166500
11.1,159026,1742,974,4009,3278,1,167288
12.1,159003,2149,997,4663,3286,1,167950
13.1,159058,2635,942,5361,3291,1,168653
14.1,159079,3143,921,6066,3292,1,169359
15.1,159021,3691,979,7046,3286,1,170333
16.1,159072,4291,928,8267,3291,2,171560
17.1,159030,4884,970,10004,3289,2,173295
18.1,159037,5592,963,11992,3307,4,175303
19.1,158999,6378,1001,14579,3309,6,177894
20.1,159020,7265,980,17375,3331,9,180715
21.1,159023,8284,977,20737,3342,11,184090
22.1,159022,9468,978,24695,3363,13,188071
23.1,158977,10686,1023,28919,3391,14,192324
24.1,158839,11976,1161,33689,3443,24,197156
25.1,158675,13240,1325,38634,3462,30,202126
26.1,158516,14680,1484,43972,3517,32,207521
27.1,158452,16285,1548,49457,3551,37,213045
28.1,158357,17997,1643,56076,3641,49,219766
29.1,158291,19737,1709,64308,3727,59,228094
30.1,158213,21510,1787,73192,3851,69,237112
31.1,158065,23386,1935,82865,3991,88,246944
32.1,157919,25319,2081,93629,4163,103,257895
33.1,157650,27290,2350,105041,4350,125,269516
34.1,157330,29307,2670,117417,4582,150,282149
35.1,156962,31357,3038,130239,4828,176,295243
36.1,156574,33341,3426,143286,5134,218,308638
37.1,155988,35363,4012,156360,5482,270,322112
38.1,155389,37304,4611,169503,5944,319,335766
39.1,154770,39248,5230,183184,6430,379,349993
40.1,154072,41148,5928,197417,6983,460,364860
41.1,153306,43178,6694,211987,7641,571,380199
42.1,152383,44990,7617,225768,8384,706,394858
43.1,151373,46739,8627,240036,9277,876,410189
44.1,150272,48467,9728,254306,10328,1078,425712
45.1,148935,49998,11065,268110,11504,1369,440983
46.1,147462,51405,12538,281280,12976,1723,455979
47.1,145819,52723,14181,293263,14612,2157,470032
48.1,144069,53715,15931,303980,16437,2673,483090
49.1,142051,54484,17949,313018,18563,3364,494945
50.1,139827,54958,20173,320501,21010,4211,505722
51.1,137350,55265,22650,327061,23747,5259,516067
52.1,134686,55179,25314,332519,26871,6548,525938
53.1,131821,55044,28179,335751,30343,8123,534217
54.1,128670,54473,31330,336542,34254,10067,540863
55.1,125275,53590,34725,333685,38562,12258,544505
56.1,121485,52217,38515,329489,43141,14960,547590
57.1,117490,50536,42510,321672,47999,17911,547582
58.1,113286,48612,46714,310457,53065,21315,544837
59.1,108828,46326,51172,297601,58191,25049,540841
60.1,104266,43808,55734,282917,63456,29089,535462
61.1,99672,41065,60328,266681,68686,33356,528723
62.1,95133,38418,64867,248049,73678,37749,519476
63.1,90628,35549,69372,228990,78388,42262,509640
64.1,86173,32662,73827,209295,82802,46875,498972
65.1,82037,30021,77963,189075,87053,51419,487547
66.1,78240,27470,81760,168895,91033,55754,475682
67.1,74604,24999,85396,149534,94595,59935,464064
68.1,71160,22588,88840,131409,97819,64077,453305
69.1,68251,20470,91749,115445,100738,67834,444017
70.1,65459,18432,94541,101085,103242,71517,435844
71.1,63021,16589,96979,87603,105419,74953,427975
72.1,60921,15027,99079,75599,107353,78189,421141
73.1,59058,13562,100942,64986,109029,81189,415204
74.1,57605,12441,102395,55699,110517,83853,410069
75.1,56399,11373,103601,47990,111815,86251,406056
76.1,55376,10478,104624,41322,112940,88480,402742
77.1,54473,9578,105527,35749,113959,90668,400376
78.1,53759,8765,106241,31119,114771,92661,398551
79.1,53206,8003,106794,27351,115482,94474,397307
80.1,52910,7452,107090,24134,116122,96076,396332
81.1,52660,6897,107340,21266,116683,97671,395620
82.1,52558,6374,107442,18890,117119,99128,395137
83.1,52493,5913,107507,16695,117429,100478,394602
84.1,52625,5549,107375,14826,117589,101679,394094
85.1,52672,5098,107328,13402,117669,102883,393954
86.1,52993,4792,107007,12207,117661,103961,393829
87.1,53363,4481,106637,11060,117583,105005,393648
88.1,53767,4168,106233,10141,117343,106030,393514
89.1,54323,3898,105677,9368,116980,106905,393253
90.1,54949,3686,105051,8593,116433,107754,392780
91.1,55606,3496,104394,7810,115807,108560,392177
92.1,56369,3341,103631,7105,114981,109307,391393
93.1,57122,3180,102878,6577,113936,110035,390548
94.1,58033,3031,101967,6103,112775,110683,389561
