"tick","# Alive Epithelial Cells","# Infected Epithelial Cells","# Dead Epithelial Cells","# Free Virions","# Innate Immune Cells","# Specialised Immune Cells","# Agents In Total"
0.1,160000,0,0,1920,3200,0,165120
1.1,159437,404,563,935,3229,0,164164
2.1,159121,607,879,481,3228,0,163709
3.1,158997,696,1003,372,3231,0,163603
4.1,158972,740,1028,540,3239,0,163779
5.1,158976,777,1024,960,3239,0,164199
6.1,158972,820,1028,1564,3249,1,164814
7.1,158968,928,1032,2211,3257,1,165469
8.1,158943,1129,1057,3178,3265,3,166446
9.1,158969,1380,1031,4152,3275,4,167431
10.1,159017,1724,983,5069,3275,4,168348
11.1,158993,2109,1007,5972,3263,4,169239
12.1,158920,2543,1080,6755,3273,4,170032
13.1,158909,3051,1091,7348,3272,5,170625
14.1,158872,3528,1128,8100,3271,5,171376
15.1,158770,4055,1230,9435,3284,6,172725
16.1,158765,4531,1235,11274,3291,7,174572
17.1,158628,5045,1372,14126,3301,8,177435
18.1,158474,5620,1526,17291,3295,8,180594
19.1,158336,6329,1664,20889,3305,9,184203
20.1,158163,7120,1837,24960,3314,12,188286
21.1,157914,8005,2086,28784,3319,15,192118
22.1,157685,9043,2315,32829,3327,19,196175
23.1,157394,10116,2606,36722,3342,24,200088
24.1,156986,11127,3014,41002,3357,28,204387
25.1,156560,12137,3440,45516,3376,34,208926
26.1,156117,13271,3883,51017,3401,36,214454
27.1,155593,14296,4407,57123,3429,41,220593
28.1,154936,15319,5064,64448,3474,46,227968
29.1,154229,16462,5771,72489,3490,51,236030
30.1,153475,17619,6525,81461,3530,64,245055
31.1,152525,18780,7475,89942,3572,69,253583
32.1,151512,19825,8488,98741,3626,82,262449
33.1,150423,20894,9577,107405,3710,95,271210
34.1,149284,21959,10716,115085,3787,102,278974
35.1,147911,23027,12089,122040,3921,112,286073
36.1,146498,24018,13502,129033,4033,134,293200
37.1,145066,24965,14934,136449,4139,147,300735
38.1,143567,25886,16433,144927,4283,160,309370
39.1,141860,26748,18140,153089,4421,175,317685
40.1,140075,27495,19925,160100,4531,199,324830
41.1,138289,28318,21711,168082,4722,228,333032
42.1,136268,29005,23732,174470,4930,266,339666
43.1,134201,29599,25799,180572,5141,298,346011
44.1,132121,30125,27879,187341,5380,346,353067
45.1,129991,30666,30009,193192,5662,404,359258
46.1,127625,30954,32375,197491,5966,464,363921
47.1,125339,31382,34661,202687,6239,521,369447
48.1,122974,31783,37026,207035,6585,613,374233
49.1,120540,31899,39460,211824,6958,688,379470
50.1,117983,31930,42017,214491,7309,783,382583
51.1,115338,32072,44662,217472,7692,904,386068
52.1,112842,32190,47158,220672,8145,1018,389835
53.1,110171,32191,49829,222428,8592,1146,392166
54.1,107589,32242,52411,223129,9073,1287,393489
55.1,104904,32210,55096,224397,9612,1456,395465
56.1,102178,31978,57822,223781,10143,1651,395575
57.1,99518,31997,60482,223914,10709,1866,396489
58.1,96805,31779,63195,223912,11341,2093,397346
59.1,94038,31421,65962,222718,12008,2358,397084
60.1,91290,31021,68710,223067,12703,2626,398396
61.1,88634,30695,71366,222682,13447,2907,399036
62.1,85911,30281,74089,221556,14235,3203,398994
63.1,83119,29778,76881,220333,15061,3526,398920
64.1,80409,29326,79591,218500,15879,3904,398283
65.1,77702,28792,82298,215818,16713,4286,396817
66.1,75020,28183,84980,213684,17605,4715,396004
67.1,72337,27515,87663,209546,18551,5171,393268
68.1,69816,27086,90184,205289,19435,5619,390343
69.1,67234,26522,92766,201589,20402,6168,388159
70.1,64666,25826,95334,196633,21424,6685,384742
71.1,62072,25034,97928,191229,22433,7272,380934
72.1,59424,24096,100576,185409,23376,7866,376651
73.1,56909,23297,103091,181047,24342,8486,373875
74.1,54468,22461,105532,175370,25367,9139,369876
75.1,52162,21758,107838,169326,26351,9795,365472
76.1,49890,21015,110110,164409,27303,10466,362178
77.1,47600,20134,112400,158234,28269,11178,357681
78.1,45491,19384,114509,151447,29174,11859,352480
79.1,43412,18617,116588,144781,30067,12559,347407
80.1,41405,17871,118595,138695,30905,13279,342879
81.1,39383,17061,120617,132239,31702,14028,337969
82.1,37533,16315,122467,126057,32473,14688,333218
83.1,35719,15560,124281,120758,33264,15444,329466
84.1,34074,14936,125926,115217,33978,16123,325318
85.1,32411,14284,127589,110199,34671,16835,321705
86.1,30757,13632,129243,105629,35355,17488,318472
87.1,29179,12936,130821,100702,35951,18168,314821
88.1,27747,12373,132253,95977,36461,18801,311239
89.1,26395,11768,133605,91099,37039,19442,307580
90.1,25025,11176,134975,86404,37496,20109,304009
91.1,23757,10589,136243,81491,37855,20753,300099
92.1,22556,10086,137444,77446,38218,21319,296983
93.1,21440,9622,138560,73663,38518,21871,294052
94.1,20379,9189,139621,69899,38773,22411,291083
95.1,19355,8787,140645,66217,38980,22955,288152
96.1,18359,8342,141641,63074,39128,23498,285700
97.1,17384,7850,142616,59647,39230,24041,282918
