"tick","# Alive Epithelial Cells","# Infected Epithelial Cells","# Dead Epithelial Cells","# Free Virions","# Innate Immune Cells","# Specialised Immune Cells","# Agents In Total"
0.1,160000,0,0,1920,3200,0,165120
1.1,159410,398,590,933,3220,0,164153
2.1,159164,575,836,479,3231,0,163710
3.1,159040,643,960,563,3242,0,163805
4.1,159008,690,992,1248,3238,1,164487
5.1,158958,758,1042,2609,3255,1,165865
6.1,158949,918,1051,4631,3261,2,167894
7.1,158980,1190,1020,7722,3252,2,170976
8.1,158996,1691,1004,11932,3259,2,175193
9.1,159055,2407,945,17010,3273,2,180285
10.1,159005,3372,995,22965,3281,2,186248
11.1,158990,4561,1010,29740,3269,3,193012
12.1,158882,5861,1118,36948,3289,3,200240
13.1,158794,7197,1206,45800,3322,7,209129
14.1,158624,8710,1376,58337,3335,9,221681
15.1,158498,10253,1502,76966,3337,14,240317
16.1,158380,11896,1620,103471,3360,15,266846
17.1,158270,13688,1730,139330,3393,18,302741
18.1,158050,15766,1950,182129,3428,21,345578
19.1,157733,18115,2267,232720,3491,29,396240
20.1,157216,20531,2784,287305,3550,35,450890
21.1,156404,22990,3596,344537,3591,48,508176
22.1,155463,25337,4537,402489,3684,60,566233
23.1,154168,27668,5832,459525,3781,78,623384
24.1,152821,29893,7179,516898,3870,92,680860
25.1,151304,32039,8696,575274,4044,112,739430
26.1,149672,34074,10328,637948,4185,135,802268
27.1,147830,36081,12170,702895,4375,161,867431
28.1,145971,38076,14029,773707,4631,201,938539
29.1,143859,39814,16141,846987,4917,236,1012140
30.1,141417,41237,18583,921001,5252,295,1086548
31.1,138766,42568,21234,991878,5609,356,1157843
32.1,135676,43559,24324,1053160,6042,453,1219655
33.1,132536,44386,27464,1108317,6528,559,1275404
34.1,129184,45008,30816,1155842,7095,669,1323606
35.1,125584,45340,34416,1192161,7737,820,1360718
36.1,121871,45438,38129,1221337,8397,990,1390724
37.1,118066,45468,41934,1243772,9153,1196,1414121
38.1,114241,45334,45759,1260228,9964,1407,1431599
39.1,110381,45122,49619,1274608,10894,1672,1447174
40.1,106379,44682,53621,1282829,11859,1960,1456648
41.1,102386,44206,57614,1285879,12952,2290,1461121
42.1,98346,43544,61654,1286737,14114,2693,1463544
43.1,94148,42553,65852,1278613,15367,3152,1457132
44.1,89948,41497,70052,1265427,16675,3675,1445777
45.1,85828,40440,74172,1246122,18114,4251,1428487
46.1,81655,39194,78345,1221752,19558,4914,1406224
47.1,77558,37842,82442,1192514,21147,5647,1379308
48.1,73489,36470,86511,1158018,22677,6414,1347109
49.1,69505,35017,90495,1120127,24291,7282,1311700
50.1,65685,33635,94315,1079373,25988,8205,1273566
51.1,61801,32125,98199,1035065,27665,9210,1231940
52.1,58046,30599,101954,988977,29362,10252,1188591
53.1,54395,28917,105605,943015,31100,11341,1145456
54.1,50927,27376,109073,897816,32772,12483,1103071
55.1,47584,25804,112416,851347,34369,13626,1059342
56.1,44319,24236,115681,804181,35889,14811,1014881
57.1,41337,22838,118663,758178,37357,15931,971466
58.1,38372,21299,121628,713316,38819,17105,929240
59.1,35583,19841,124417,669795,40199,18276,888270
60.1,32915,18520,127085,626931,41524,19433,847888
61.1,30412,17232,129588,585405,42737,20559,808701
62.1,28027,15887,131973,544100,43922,21613,769635
63.1,25787,14661,134213,502317,44996,22652,729965
64.1,23784,13541,136216,464249,46010,23639,693898
65.1,21852,12457,138148,427793,46901,24569,659263
66.1,20113,11493,139887,393872,47774,25485,627131
67.1,18474,10574,141526,362715,48623,26347,597685
68.1,16904,9671,143096,333030,49338,27182,569550
69.1,15465,8879,144535,305607,50026,27949,543582
70.1,14213,8204,145787,279315,50606,28643,518564
71.1,13056,7595,146944,255314,51133,29307,495754
72.1,11913,6958,148087,232026,51528,29946,473500
73.1,10895,6421,149105,210500,51882,30516,452898
74.1,9955,5952,150045,191470,52147,31093,434710
75.1,9106,5487,150894,175451,52380,31607,419438
76.1,8339,5089,151661,160721,52490,32112,405323
77.1,7618,4713,152382,147722,52524,32598,392844
78.1,6950,4367,153050,135624,52552,33049,381225
79.1,6364,4046,153636,124273,52454,33447,370174
80.1,5786,3744,154214,114587,52331,33846,360764
81.1,5235,3432,154765,105681,52166,34216,352063
82.1,4732,3140,155268,97860,51844,34551,344255
83.1,4265,2859,155735,90670,51518,34900,337088
84.1,3806,2599,156194,83245,51039,35199,329483
85.1,3403,2360,156597,76353,50418,35488,322259
86.1,3043,2140,156957,69816,49723,35767,315306
87.1,2693,1941,157307,63840,48919,36000,308759
88.1,2370,1712,157630,57920,48025,36257,302202
89.1,2104,1554,157896,52121,47066,36473,295660
90.1,1833,1368,158167,47121,46007,36671,289799
91.1,1615,1229,158385,41980,44866,36835,283681
92.1,1419,1086,158581,37662,43587,36977,278226
93.1,1230,948,158770,34074,42287,37126,273487
94.1,1072,843,158928,30570,40882,37235,268687
95.1,919,728,159081,27582,39416,37340,264338
96.1,782,625,159218,24389,37852,37440,259681
97.1,677,546,159323,21850,36279,37507,255636
98.1,590,469,159410,19311,34696,37559,251566
99.1,496,405,159504,16825,33050,37615,247490
100.1,415,345,159585,14576,31375,37670,243621
101.1,357,303,159643,12620,29699,37710,240029
102.1,299,255,159701,11000,28037,37748,236785
103.1,235,203,159765,9395,26417,37787,233599
104.1,205,185,159795,7956,24781,37808,230545
105.1,174,160,159826,6752,23261,37830,227843
106.1,143,129,159857,5842,21674,37855,225371
107.1,117,105,159883,5046,20216,37872,223134
108.1,92,85,159908,4457,18843,37889,221189
109.1,67,61,159933,3755,17497,37910,219162
110.1,52,46,159948,3111,16219,37918,217248
111.1,41,36,159959,2623,15020,37925,215568
112.1,36,32,159964,2242,13910,37931,214083
113.1,23,22,159977,1816,12909,37936,212661
114.1,17,16,159983,1319,11922,37938,211179
115.1,9,8,159991,919,10964,37942,209825
116.1,8,7,159992,620,10086,37943,208649
117.1,8,7,159992,402,9289,37943,207634
118.1,6,5,159994,276,8570,37945,206791
119.1,5,4,159995,199,7915,37946,206060
120.1,2,2,159998,126,7320,37947,205393
121.1,2,2,159998,89,6798,37947,204834
122.1,1,1,159999,67,6386,37948,204401
123.1,0,0,160000,46,6029,37949,204024
124.1,0,0,160000,15,5675,37949,203639
125.1,0,0,160000,4,5358,37949,203311
126.1,0,0,160000,1,5085,37949,203035
127.1,0,0,160000,0,4797,37949,202746
128.1,0,0,160000,0,4588,37949,202537
129.1,0,0,160000,0,4364,37949,202313
130.1,0,0,160000,0,4171,37949,202120
131.1,0,0,160000,0,4035,37949,201984
132.1,0,0,160000,0,3895,37949,201844
133.1,0,0,160000,0,3781,37949,201730
134.1,0,0,160000,0,3684,37949,201633
135.1,0,0,160000,0,3596,37949,201545
136.1,0,0,160000,0,3528,37949,201477
137.1,0,0,160000,0,3482,37949,201431
138.1,0,0,160000,0,3428,37949,201377
139.1,0,0,160000,0,3385,37949,201334
140.1,0,0,160000,0,3343,37949,201292
141.1,0,0,160000,0,3334,37949,201283
142.1,0,0,160000,0,3319,37949,201268
143.1,0,0,160000,0,3316,37949,201265
144.1,0,0,160000,0,3299,37949,201248
145.1,0,0,160000,0,3285,37949,201234
146.1,0,0,160000,0,3275,37949,201224
147.1,0,0,160000,0,3268,37949,201217
148.1,0,0,160000,0,3266,37949,201215
149.1,0,0,160000,0,3273,37949,201222
150.1,0,0,160000,0,3274,37949,201223
151.1,0,0,160000,0,3276,37949,201225
152.1,0,0,160000,0,3271,37949,201220
153.1,0,0,160000,0,3283,37949,201232
154.1,0,0,160000,0,3284,37949,201233
155.1,0,0,160000,0,3291,37949,201240
156.1,0,0,160000,0,3288,37949,201237
157.1,0,0,160000,0,3293,37949,201242
158.1,0,0,160000,0,3306,37949,201255
159.1,0,0,160000,0,3305,37949,201254
160.1,0,0,160000,0,3306,37949,201255
161.1,0,0,160000,0,3304,37949,201253
162.1,0,0,160000,0,3295,37949,201244
163.1,0,0,160000,0,3296,37949,201245
164.1,0,0,160000,0,3298,37949,201247
165.1,0,0,160000,0,3291,37949,201240
166.1,0,0,160000,0,3279,37948,201227
167.1,0,0,160000,0,3263,37948,201211
168.1,0,0,160000,0,3255,37948,201203
169.1,0,0,160000,0,3254,37948,201202
170.1,0,0,160000,0,3250,37947,201197
171.1,0,0,160000,0,3235,37946,201181
172.1,0,0,160000,0,3239,37944,201183
173.1,0,0,160000,0,3243,37942,201185
174.1,0,0,160000,0,3235,37939,201174
175.1,0,0,160000,0,3250,37934,201184
176.1,0,0,160000,0,3254,37932,201186
177.1,0,0,160000,0,3259,37927,201186
178.1,0,0,160000,0,3246,37919,201165
179.1,0,0,160000,0,3240,37912,201152
180.1,0,0,160000,0,3245,37900,201145
181.1,0,0,160000,0,3247,37887,201134
182.1,0,0,160000,0,3243,37869,201112
183.1,0,0,160000,0,3251,37853,201104
184.1,0,0,160000,0,3247,37834,201081
185.1,0,0,160000,0,3259,37812,201071
186.1,0,0,160000,0,3258,37786,201044
187.1,0,0,160000,0,3261,37761,201022
188.1,0,0,160000,0,3259,37733,200992
189.1,0,0,160000,0,3261,37685,200946
190.1,0,0,160000,0,3253,37647,200900
191.1,0,0,160000,0,3252,37592,200844
192.1,0,0,160000,0,3255,37528,200783
193.1,0,0,160000,0,3262,37447,200709
194.1,0,0,160000,0,3252,37363,200615
195.1,0,0,160000,0,3258,37259,200517
196.1,0,0,160000,0,3259,37151,200410
197.1,0,0,160000,0,3271,37032,200303
198.1,0,0,160000,0,3272,36881,200153
199.1,0,0,160000,0,3287,36721,200008
200.1,0,0,160000,0,3277,36559,199836
201.1,0,0,160000,0,3271,36343,199614
202.1,0,0,160000,0,3267,36112,199379
203.1,0,0,160000,0,3280,35841,199121
204.1,0,0,160000,0,3291,35550,198841
205.1,0,0,160000,0,3285,35224,198509
206.1,0,0,160000,0,3285,34882,198167
207.1,0,0,160000,0,3278,34515,197793
208.1,0,0,160000,0,3280,34078,197358
209.1,0,0,160000,0,3285,33616,196901
210.1,0,0,160000,0,3291,33127,196418
211.1,0,0,160000,0,3303,32616,195919
212.1,0,0,160000,0,3294,32057,195351
213.1,0,0,160000,0,3289,31460,194749
214.1,0,0,160000,0,3276,30837,194113
215.1,0,0,160000,0,3261,30213,193474
216.1,0,0,160000,0,3259,29548,192807
217.1,0,0,160000,0,3256,28861,192117
218.1,0,0,160000,0,3249,28095,191344
219.1,0,0,160000,0,3246,27296,190542
220.1,0,0,160000,0,3260,26509,189769
221.1,0,0,160000,0,3251,25661,188912
222.1,0,0,160000,0,3250,24819,188069
223.1,0,0,160000,0,3251,23974,187225
224.1,0,0,160000,0,3247,23129,186376
225.1,0,0,160000,0,3245,22268,185513
226.1,0,0,160000,0,3255,21363,184618
227.1,0,0,160000,0,3261,20468,183729
228.1,0,0,160000,0,3250,19580,182830
229.1,0,0,160000,0,3247,18699,181946
230.1,0,0,160000,0,3241,17773,181014
231.1,0,0,160000,0,3248,16960,180208
232.1,0,0,160000,0,3237,16106,179343
233.1,0,0,160000,0,3242,15299,178541
234.1,0,0,160000,0,3237,14502,177739
235.1,0,0,160000,0,3238,13750,176988
236.1,0,0,160000,0,3244,12920,176164
237.1,0,0,160000,0,3243,12143,175386
238.1,0,0,160000,0,3250,11403,174653
239.1,0,0,160000,0,3245,10690,173935
240.1,0,0,160000,0,3245,10017,173262
